,Abstrak
142,"Pengenalan tulisan tangan merupakan topik penelitian yang sangat populer saat ini. Para peneliti telah banyak melakukan usaha-usaha untuk membuat sistem pengenalan tulisan tangan otomatis dengan berbagai teknik yang berbeda. Penelitian ini membahas pengembangan sistem pengenalan tulisan tangan offline yang menggunakan pencirian lokal dari karakter-karakter tulisan tangan. Salah satu faktor penentu dalam pengenalan tulisan tangan adalah model atau bentuk tulisan tangan dari penulis yang mampu dikenali. Tiap penulis pasti memiliki gaya menulis atau bentuk tulisan tangan yang berbeda. Metode yang digunakan untuk pengenalan pola tulisan tangan pada penelitian ini adalah Modified Direction Feature (MDF) untuk proses ekstraksi fitur dan Learning Vector Quantization (LVQ) untuk proses klasifikasi. Proses ekstraksi fitur pada metode MDF dilakukan dengan cara penentuan arah garis dan posisi  dari tiap-tiap piksel. Sedangkan untuk proses pelatihan data menggunakan  metode Learning Vector Quantization (LVQ), metode ini akan menghasilkan bobot yang akan digunakan untuk proses pengenalan citra huruf tulisan tangan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan diperoleh dengan jumlah data pelatihan sebanyak 260 citra dan data uji coba sebanyak 52 citra. Hasil akurasi sistem yang didapatkan sebesar 71,15 %.

Kata Kunci: Tulisan Tangan, Modified Direction Feature, Learning Vector Quantization"
156,"Penyusunan Sistem Pendukung Keputusan pemilihan teknik rekayasa kebutuhan dibuat untuk membantu pengembang perangkat lunak dalam membangun sebuah proyek perangkat lunak. Pemilihan teknik rekayasa kebutuhan umumnya berdasarkan pada pilihan system dan analis yang bersangkutan daripada berdasarkan karakteristik teknik rekayasa kebutuhan yang sesuai pada proyek perangkat lunak tersebut. Untuk dapat menghasilkan perangkat lunak yang baik maka proses evaluasi dan pemilihan teknik rekayasa kebutuhan merupakan salah satu tahap yang sangat penting dalam sebuah proyek pengembangan perangkat lunak.
	Didalam SPK ini dilakukan proses pemilihan antara teknik rekayasa kebutuhan dan kriteria atribut project yang diinginkan oleh pengembang perangkat lunak. Selanjutnya dilakukan proses clustering menggunakan metode Self Organizing Map (SOM). Parameter yang digunakan dalam adalah distance matrix karena paling tepat digunakan untuk menangani data multi dimensional. Euclidean dan Canberra adalah jenis distance matrix yang lazim digunakan karena tingkat akurasinya yang baik untuk menangani kasus data riil.
Hasil akhir yang diperoleh yaitu membandingkan hasil clustering menggunakan metode SOM berbasis Euclidean Distance dan Canberra Distance matrix. Sehingga menghasilkan teknik rekayasa kebutuhan yang efisien, obyektif dan sesuai dengan karakteristik proyek perangkat lunak.
Kata Kunci : Sistem Pendukung Keputusan, Teknik Rekayasa Kebutuhan, Clustering, Self Organizing Map, Canberra Distance matrix"
158,"Kegiatan seleksi penerimaan siswa baru di Madrasah Ibtidaiyah Negeri Model Kamal Bangkalan yang telah berjalan masih memiliki kendala, yaitu lamanya proses memilih peserta dari hasil dipertimbangkan menjadi hasil diterima. Proses ini membutuhkan ketelitian dan kehati-hatian sebab peserta yang dipilih harus berkualitas sehingga memenuhi jumlah daya tampung yang ada. Proses ini merupakan penilaian subyektif dari seorang koordinator seleksi penerimaan siswa baru yang dilakukan secara manual. Oleh karena itu untuk memudahkan dan membantu pihak sekolah dalam kegiatan pemilihan penerimaan siswa baru didalam memilih peserta dari hasil dipertimbangkan menjadi diterima sebagai siswa maka perlu dibangun sebuah sistem pendukung keputusan yang terkomputerisasi yang dapat membantu proses penerimaan siswa dengan AHP. Analytical Hirearchy Process (AHP) digunakan untuk perhitungan bobot kriteria. Dari bobot kriteria yang sudah didapat maka dilakukan proses pengurutan peserta yang akan menentukan alternatif yang optimal, yaitu peserta terbaik. Dari hasil analisa diperoleh data perangkingan yang dihasilkan dari tiga kriteria yaitu tes, jarak rumah kesekolah dan usia
Kata kunci: Penerimaan siswa baru, SPK, AHP

"
160,"Pengukuran kinerja adalah proses di mana organisasi menetapkan parameter hasil untuk dicapai oleh program, investasi, dan akusisi yang dilakukan. Dalam pengukuran kinerja perusahaan diperlukan indikator yang jelas sehingga bisa diketahui peningkatan atau penurunan indeks produktivitas yang menjadi tolak ukur perusahaan dalam mengukur kinerjanya. Pengukuran kinerja salah satunya diterapkan pada PT. Preshion Engineering Plastec Surabaya supaya  tetap  dapat menguasai  pasar  dan  mempertahankan  pelanggannya. Dengan menggunakan Performance Prism, metode ini mempertimbangkan semua kebutuhan dan keinginan dari semua stakeholder yang nantinya akan dijadikan dasar untuk menyusun Key Performance Indicators (KPI) kemudian KPI tersebut dibobotkan dengan ANP selanjutnya dilakukan scoring dengan Objective Matrix (OMAX) untuk mengetahui indeks produktivitas dari kinerja perusahaan. Hasil dari penelitian ini adalah dalam mengevaluasi kinerja PT Preshion Engineering Plastec Surabaya didapatkan 6 stakeholder dengan 19 subkriteria atau KPI. Dari 19 KPI tersebut, KPI Profit Growth  mendapatkan bobot normal paling tinggi yaitu 0,05307 dan KPI jumlah rapat bobotnya paling rendah yaitu 0,05262. Indeks produktivitas perusahaan pada tahun 2010 mengalami penurunan sebesar 0,29642 dari tahun 2009. Ini diakibatkan sebanyak 15 KPI pencapaiannya dibawah target. Namun untuk tahun 2011 indeks produktivitas perusahaan mengalami kenaikan dari tahun 2010 sebesar 0,420018."
162,"ABSTRAK

Pemilihan perekomendasian beasiswa untuk siswa terbaik secara periodik menjadi suatu proses yang lama dan rumit. Keputusan seseorang salah karena proses perekomendasian beasiswa berdasarkan nilai raport, dan nilai non akademis. Oleh karena itu diperlukan sistem pendukung keputusan untuk proses pemilihan beasiswa. Sistem pendukung keputusan ini, dapat menentukan nilai perhitungan terhadap semua kriteria. Sistem ini menggunakan metode Simple Additive Weighting (SAW). Metode ini merupakan suatu metode yang mencari penjumlahan terbobot. Pada studi kasus di sekolah Yayasan Sunan Dalem Desa Gumeno ini, terdapat 5 (lima) kriteria yaitu nilai raport, nilai Bahasa Inggris, Prestasi luar sekolah, Ekstrakulikuler dan Kepribadian, setiap alternatif (beasiswa murid) memiliki kriteria-kriteria tersebut. 
Dalam hal menentukan Perekomendasian beasiswa terbaik dilakukan dengan cara menjumlahan bobot dari rating kinerja pada setiap alternatif untuk semua atribut. Nilai yang lebih besar akan mengindikasikan bahwa alternatif lebih terpilih. Pada kasus tersebut metode SAW ini dapat menentukan siswa terbaik berdasarkan nilai tertinggi. Dengan demikian sistem ini mampu menangani perhitungan penilaian penerimaan beasiswa terbaik di SMP Yayasan Pendidikan Sunan Dalem Desa Gumeno sehingga (misal manajer guru/kepala sekolah) tidak mengalami kesulitan dalam menentukan siapa saja siswa yang direkomdasikan oleh sistem untuk mendapatkan beasiswa dengan nilai yang terbaik.

Kata kunci: Beasiswa, Simple Additive Weigting, Rapot, Prestasi"
164,"Penelitian ini membahas tentang perancangan sistem informasi perencanaan produksi dan persediaan bahan baku tinta menggunakan metode EOQ (Economic Order Quantity) di PT. Inktech Indahmulya. Selama ini dalam menjalankan rencana produksi yang ada masih menggunakan perencanaan produksi secara sederhana dan didasarkan pengalaman produksi periode-periode sebelumnya, sehingga perusahaan belum mengetahui apakah rencana produksi yang diterapkan sudah optimal. Untuk dapat menentukan jumlah persediaan barang secara tepat, diperlukan pengetahuan untuk mengetahui berapa jumlah barang yang dibutuhkan tiap periode dengan melakukan peramalan. Metode peramalan yang digunakan adalah metode single exponential smoothing dan metode single moving average, metode ini digunakan untuk melakukan peramalan kebutuhan bahan baku pada periode selanjutnya. Hasil penelitian ini mengkonfirmasikan  untuk menentukan jumlah tinta PMG yang harus diproduksi konsisten menggunakan metode peramalan single exponential smoothing dengan nilai MSE berada pada 0,1. Nilai tersebut digunakan untuk menentukan jumlah material produksi yang dibutuhkan dengan menggunakan metode Economic Order Quantity (EOQ). Dari hasil uji coba sistem ini didapatkan hasil biaya persediaan terendah dan jumlah kebutuhan bahan baku yang  diperlukan untuk periode selanjutnya."
166,"Internet merupakan kebutuhan pokok bagi banyak orang di era informasi. Informasi yang terdapat di internet sangat banyak. Search engine merupakan sistem yang mampu melakukan pencarian dan pengambilan informasi berdasarkan kata kunci yang dimasukkan oleh pengguna. Blog merupakan salah satu penyumbang informasi yang notabene dibuat oleh para blogger. Jumlah blogger di Indonesia semakin bertambah, berbanding lurus dengan jumlah informasi di internet. Dari kondisi tersebut diperlukan mekanisme mempercepat proses pengambilan informasi dari pemilahan blog berdasarkan kategori yang telah ditentukan sebelumnya. Web crawler aplikasi yang berfungsi mengambil informasi yang diperlukan dengan cara menjelajahi halaman situs blog kemudian disimpan dalam database. Proses pengambilan halaman web dilakukan pengecekan bahasa menggunakan regular expression dan daftar stopword untuk tujuh kategori yang ditentukan berdasarkan niche blog : tips dan trik komputer, kuliner nusantara, sepak bola, petualangan indonesia, kesehatan Ibu dan anak, handphone dan gadget, fashion wanita. Niche blog adalah aktivitas blogging yang dilakukan oleh para blogger untuk membuat blog bertopik spesifik. Dengan mengaplikasikan konsep web crawler, penelitian ini mampu menentukan niche blog sesuai dengan tujuh kategori yang telah ditentukan dengan mengujikan 10 kata kunci dan daftar stopword. Dari hasil ujicoba, dapat diambil kesimpulan penggunaan 3 kunci mendapatkan hasil paling maksimal.
Keywords: Niche Blog, Regular Expression, Web Crawler, Search Engine
 "
169,"Penyakit Gagal jantung adalah pembunuh nomer satu pada negara yang sedang berkembang. Seperti halnya di Indonesia dan negara-negara asia pada umumnya, di Amerika pun  penyakit jantung pernah menjadi pembunuh nomer satu. Di seluruh dunia, jumlah penderita penyakit ini terus bertambah. Ketiga  kategori penyakit ini tidak lepas  dari gaya  hidup  yang kurang sehat yang banyak dilakukan seiring dengan berubahnya pola hidup.  Faktor-faktor pemicu serangan 
jantung  ialah  rokok,  mengonsumsi  makanan  berkolest erol  tinggi,  kurang  gerak,  malas berolahraga, stres, dan kurang istirahat.Seiring kemajuan teknologi dibuatlah sistem yang bisa mendiagnosa  penyakit-penyakit  tersebut.  Sistem  ini  yang  nanti  akan  menggantikan  pakar aslinya  dalam  penentuan diagnosa  penyakit.  Sehingga  dengan  sistem  ini  nanti   diharapkan pasien  bisa  mendapatkan  pelayanan  lebih  cepat  dan  akurat.  Sistem  pakar  ini  menggunakan 
metode  Bayesian Network  sebagai acuannya.  Dalam metode ini menggunakan struktur gejala yang saling berkaitan untuk mendiagnosa penyakit. Struktur tersebut ditentukan oleh seorang pakar dibidang jantung. Kemudian ditentukan nilai probabilitas dari setiap gejala berdasarkan keterkaitan antara gejala. Setelah didapatkan semua baru semua nilai dibandingkan dan diambil nilai  terbaik  sebagai  hasil  diagnosa.  Dalam  pengaplikasiannya  sistem  ini  memiliki  akurasi 
sampai lebih dari 80%."
182,"Kantor Badan Kepegawaian kota Bangkalan adalah instansi pemerintahan yang bergerak di bidang pelayanan kepegawaian. Untuk meningkatkan kualitas pelayanan maka perlu adanya sebuah sistem informasi yang mampu memonitoring dan membantu proses kinerja dari dinas tersebut. Oleh karena itu dalam penelitian  ini dibahas bagaimana menerapkan  Architecture Enterprise BKD Bangkalan dengan menggunakkan metode TOGAF ADM dan mengimplementa sikannya kedalam sebuah implementasi aplikasi Enterprise yang akan dibentuk menjadi satu keterpaduan dengan  E-government Bangkalan. TOGAF ADM memiliki empat komponen utama: arsitektur bisnis, arsitektur data, arsitektur teknologi dan arsitektur aplikasi. Intinya TOGAF digunakan untuk membuat Architecture Enterprise dari semua aspek tersebut. Dalam penelitian ini akan dibahas tentang perancangan sistem arsitektur Sistem informasi BKD Bangkalan sebagai sub-sistem dari E-government Bangkalan dengan menggunakan TOGAF ADM tujuannya agar dapat menghasilkan sistem aplikasi administrasi kantor Badan Kepegawaian Daerah  Bangkalan, membuat Blue Print, serta memperbaiki efisiensi, kenyamanan, serta aksesibilitas pelayanan terhadap publik agar  lebih baik. 

Kata Kunci: Arsitektur interprise, TOGAF ADM, Arsitektur bisnis, Arsitektur data, Arsitektur aplikasi, Arsitektur teknologi
"
190,"ABSTRAK

Kondisi keterbatasan sumber daya air di Kabupaten Sumenep saat ini dapat menjadi kendala dalam pengembangan wilayah yang nantinya berdampak pada perubahan guna lahan, peningkatan kebutuhan air sangat meningkat dikarenakan perkembangan penduduk dan kegiatan sosial-ekonomi yang bermunculan dan berkembang pesat pasca selesainya proyek pembangunan jembatan Suramadu. Atas dasar tersebut, maka penelitian ini perlu dilakukan untuk memilih lahan yang ada sehingga nantinya dapat digunakan untuk pengelolaan sumber air. Penelitian ini bertujuan untuk menentukan pemilihan area paling sesuai untuk menetapkan lahan guna kepentingan pengelolaan sumber air. Metode yang digunakan dalam penelitian ini adalah metode electre, yang mana metode ini merupakan metode pengambilan keputusan yang nantinya di implementasikan kedalam sistem informasi berbasis website sehingga dalam penggunaannya menjadi lebih mudah untuk dipahami dan di operasikan. Dalam sistem informasi tersebut dilengkapi penggunaan google maps sehingga dapat lebih mempermudah user dalam mendapatkan info dari sebuah area lahan yang diseleksi.

Kata Kunci : electre, lahan, sistem informasi, google maps.
"
202,"Dengan prediksi yang baik, dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Semakin banyak orang menggunakan Komputer  maka jumlah permintaan konsumen pada Asesoris komputer secara otomatis penjualannya juga akan meningkat. Oleh karena itu dibutuhkan sistem yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Untuk meramalkan pejualan Asesoris komputer Digunakanlah metode peramalan Single Exponential Smoothing (SES) dan metode Oldinary Least Square (OLS). Hasil peramalan tersebut akan dihitung  dan dibandingkan menggunakan Mean Square Error (MSE) untuk mendapatkan hasil error yang terkecil dan peramalan terbaik. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan asesoris komputer menggunakan metode Single Exponential Smoothing (SES) dan Oldinary Least Square (OLS) cukup baik diterapkan untuk studi kasus di SKY DISK Surabaya. Dengan mendapatkan rata-rata MSE sebesar 5257.5 dan rata-rata MAPE sebesar 0.9463%."
206,"Beasiswa  indentik  dengan  penghargaan yang  diberikan  kepada  pelajar/santri  berprestasi dalam  studi  yang  ditempuhnya.  IKSASS dalam  menumbuhkan  dan  meningkatkan semangat  santri  untuk  berprestasi dilakukan  dengan  memberikan  penghargaan  berupa  beasiswa  tiap  semester. Proses  seleksi  calon penerima beasiswa di Ikatan Santri Alumni Salafiyah Syafiiyah (IKSASS) Rayon Kabupaten Bangkalan dilengkapi  dengan  berbagai  kriteria. Seperti ekonomi keluarga, tanggungan keluarga, status orang tua dan lain-lain. Hal tersebut perlu  diperhatikan  dalam  perhitungan  penilaian  terhadap  kriteria  dan harus benar-benar relevan karena pada dasarnya akan berpengaruh pada hasil akhirnya. Dengan menggunakan Sistem Pendukung keputusan, calon penerima beasiswa menggunakan metode SMARTER inferensi Forward Chaining yang akan dibuat, hasil yang  didapat  telah  memenuhi  kriteria  yang  diinginkan  pihak IKSASS. Selain itu penggunaaan Forward Chaining efektif digunakan untuk mengantisipasi kesamaan hasil perankingan. Sehingga proses seleksi calon penerima beasiswa IKSASS rayon bangkalan tepat sasaran.

Kata kunci : sistem pendukung keputusan, Simple Multi-Atribute Rating  Technique Exploiting Rank (SMARTER), Forward Chaining.
"
216,"Sistem pengenalan wajah adalah suatu sistem untuk mengenali identitas diri dari seseorang melalui wajah manusia. Teknologi ini mengidentifikasi bagian tubuh manusia yang unik dan tetap seperti wajah manusia. Hal khusus di bidang identifikasi dan pengenalan wajah manusia memanfaatkan pengolahan dan juga analisis citra wajah, yang akan berperan penting dalam proses pengenalan wajah manusia. Sistem ini dapat di manfaatkan dalam suatu sistem keamanan di bidang biometrika. Pada penelitian ini telah di bangun suatu perangkat lunak pengenalan citra wajah manusia menggunakan metode Two Dimensional Linear Discriminant Analysis (2DLDA) untuk menentukan karakteristik dari wajah manusia. Sedangkan pada tahap pengklasifikasian digunakan metode Angular Separation untuk mengukur kemiripan antara data pelatihan (training) dan data uji coba (testing). Melalui proses testing gambar wajah ini dapat di ketahui identitas diri dari seseorang. Dari uji coba aplikasi menggunakan klasifikasi Angular Separation di peroleh akurasi pengenalan benar sebesar  94.5%, pada  lima pose citra wajah pelatihan  dan lima pose citra wajah uji coba (testing) dengan jumlah data masing - masing dua ratus citra wajah manusia yang di ambil dari database ORL dengan menggunakan sepuluh eigen.

Kata kunci : Sistem pengenalan wajah, Two Dimensional Linear Discriminant Analysis, Angular Separation.
"
223,"ABSTRAK
Obat merupakan salah satu kebutuhan penting dalam rumah sakit. Selama ini, kebutuhan pengumpulan data obat adalah masalah yang sering dihadapi oleh Farmasi yang memiliki kewenangan dalam pengadaan obat-obatan di rumah sakit Syarifah Ambami Rato Ebu Kabupaten Bangkalan. Dalam rangka menjamin ketersediaan obat perlu untuk mempersiapkan kebutuhan obat sesuai dengan jumlah yang dibutuhkan. Dalam rangka memenuhi tingkat kebutuhan obat tersebut,  perlu untuk meramalkan masa depan terkait jumlah ketersediaan obat yang dibutuhkan dengan menggunakan data sebelumnya.Data tersebut digunakan  bertujuan untuk menentukan nilai kesalahan dan keakuratan pelatihan dari metode yang digunakan. Dalam penelitian ini, metode yang akan digunakan untuk memprediksi kebutuhan obat adalah Jaringan Syaraf Tiruan menggunakan algoritma Backpropagation dengan inisialisasi bobot awal Nguyen Widrow. Dengan penambahan metode Nguyen Widrow ini, sistem mampu memecahkan masalah yang terjadi dalam Backpropagation standar yang lambat untuk mencapai konvergensi. Dari pengujian yang dilakukan dengan 3 Skenario yaitu perubahan Epoch, Learning rate dan Momentum, serta perubahan Jumlah input layer dan Hidden layer  pada nama obat ACLAM 500 MG KAPLET/BTL 1 didapatkan hasil parameter terbaik untuk melakukan peramalan yaitu dengan jumlah epoch 30 nilai Learning Rate 0.9 dan Momentum 0.8 serta jumlah input layer 4 dan Hidden layer 4 yang menghasilkan MSE (Mean Seaquare Error) 0, 003.

Kata Kunci: Peramalan, Jaringan Syaraf Tiruan, Backpropagation, Nguyen Widrow, kebutuhan obat.
"
226,"Batik adalah kerajinan yang memiliki nilai seni tinggi dan telah menjadi bagian dari budaya Indonesia sejak lama. Batik di Indonesia mempunyai beragam jenis tekstur batik, warna batik, dan pola batik yang mencerminkan asal usul daerah dari batik tersebut. Saat ini pencarian citra berbasis teks sudah tidak efektif lagi karena adanya penilaian subjektif dari pengguna dalam merepresentasikan suatu citra. Karena itu diperlukan suatu sistem yang dapat menangani pencarian citra menggunakan query berupa citra atau disebut Sistem Perolehan Citra berbasis Isi (SPCI) atau Content Based Image Retrieval (CBIR). Penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan kelas citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai objek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Difference Method (GLDM) menggunakan empat arah utama. GLDM menghitung perbedaan mutlak antara sepasang derajat keabuan yang terpisah oleh jarak dan arah tertentu. Hasil ekstraksi fitur dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=7 diperoleh akurasi presisi sebesar  61%  pada data pelatihan 168 dan data uji coba 32 dengan 10 citra yang ditampilkan. "
236,"Pengenalan tulisan tangan adalah salah satu cabang dari pengenalan pola. Carakan merupakan tulisan yang cukup kompleks dan memiliki karakteristik yang lebih unik dibandingkan dengan tulisan latin, apalagi bila ditulis dengan tulisan tangan. Faktor yang menyebabkan proses pengenalan tulisan carakan sulit untuk dilakukan adalah variasi bentuk tulisan carakan dan memiliki kemiripan antar huruf. Hal ini memungkinkan adanya kesalahan dalam proses klasifikasi. Pada penelitian ini dibangun sistem pengenalan tulisan tangan secara real time dimana proses ekstraksi ciri menggunakan metode Dominant Point untuk mendapatkan ciri pada setiap karakter masukan. Metode ini pada dasarnya sistem akan membaca arah goresan pena yang didasarkan pada kumpulan titik. Pada proses klasifikasi serta pengenalan karakter menggunakan Fine Classification. Pada proses ini, pengenalan dilakukan dengan tiga tahap yaitu penilaian prakandidat, menyeleksi kandidat, lalu pencocokan karakter. Proses ini yang membuat sistem dengan cepat melakukan proses pengenalan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan carakan diperoleh dari data pelatihan sebanyak 600 citra pada data uji coba skenario ke 3 dengan akurasi sebesar 90%. Sedangkan hasil terendah diperoleh dari data pelatihan sebanyak 200 citra pada data uji coba skenario ke 1 dengan akurasi sebesar 40%. Hasil akurasi rata-rata dari sembilan skenario adalah sebesar 67,67%.

Kata kunci: Handwriting Recognition, Carakan, Dominant Point,  Fine Classification."
238,"Penyusunan Sistem Informasi Dinas Perindustrian & Perdagangan (DISPERINDAG) Kabupaten Bangkalan dibuat untuk meningkatkan kualitas pelayanan dan membantu proses kinerja dari dinas tersebut. Salah satu faktor pendorong pemanfaatan sistem informasi yang lebih baik adalah semakin meningkatnya kebutuhan fungsi pelayanan yang dijalankan. Tujuan dari penerapan Arsitektur Enterprise adalah menciptakan keselarasan antara bisnis dan teknologi informasi bagi kebutuhan instansi, penerapan arsitektur enterprise tidak terlepas dari bagaimana sebuah instansi merencanakan dan merancang arsitektur enterprise tersebut. TOGAF ADM merupakan metodologi yang lengkap, banyak instansi yang tidak memahami secara jelas tentang tahapan – tahapan dari metodologi tersebut diterjemahkan ke dalam aktivitas perancangan Arsitektur Enterprise. Tahapan dalam perancangan Arsitektur Enterprise sangatlah penting dan akan berlanjut pada tahapan berikutnya yaitu rencana implementasi. TOGAF ADM memiliki empat komponen utama: arsitektur bisnis, arsitektur data, arsitektur teknologi dan arsitektur aplikasi. Pada intinya TOGAF digunakan untuk membuat Arsitektur Enterprise dari semua aspek tersebut yang menghasilkan model dan kerangka dasar dalam mengembangkan sistem informasi yang terintegrasi untuk mendukung kebutuhan Dinas Perindustrian & Perdagangan sesuai dengan Peraturan Bupati Bangkalan Nomor 38 Tahun 2010 Tentang Uraian Tugas Jabatan Struktural pada Dinas Perindustrian dan Perdagangan."
241,"ABSTRAK
Pencatatan laporan mengenai pemesanan, penjualan, harga, tingkat, persediaan dan lain sebagainya adalah komponen dari sistem informasi yang penting dan paling dasar yang digunakan oleh para manajer perusahaan. Karena dengan hal ini para manajer pemasaran dapat menemukan masalah yang penting yaitu dengan cara menganalisisnya. Penelitian ini membahas penerapan algoritma Fuzzy C-Means, dalam penelitian yang dilaksanakan di Depot Pertamina Camplong bertujuan untuk mengidentifikasikan pola dari data penjualan BBM. Pengujian dilakukan pada dua jenis BBM, yaitu BBM jenis Premium dan BBM jenis Solar.Clustering merupakan metode pengelompokan suatu objek kedalam sejumlah kelompok (cluster) yang sesuai. Prinsip clustering adalah meminimumkan kesamaan antar anggota satu cluster dan memaksimalkan kesamaan antar anggota cluster yang berbeda. Fuzzy C-Means merupakan teknik pengclusteran dimana tiap-tiap data ditentukan oleh derajat keanggotaannya. Semakin besar nilai derajat keanggotaan data dalam suatu cluster maka semakin besar pula data tersebut menjadi anggota cluster tersebut.Hasil clustering kemudian diproses atau dievaluasi menggunakan Sum Squared Error (SSE) diaman sebelumnya harus diketahui niai pusat cluster guna mengetahui cluster yang mana yang memiliki nilai error yang terkecil. 

Kata Kunci : Pengelompokkan data, Fuzzy C-Means(FCM), Sum Squared Error (SSE)
"
246,"Di Indonesia masalah perkembangan gizi adalah masalah yang
perlu perhatian lebih. Jika seseorang tidak mengetahui tentang status
gizinya, maka tidak akan dapat mengontrol berapa banyak jumlah gizi
yang dibutuhkan dalam tubuh. Dalam penelitian ini dirancang aplikasi
sistem pendukung keputusan yang digunakan untuk menentukan status
gizi pasien dan memberikan solusi makanan pada pasien sesuai riwayat
penyakit yang di derita pasien. Sistem yang dirancang ini berbasis Web,
dan memudahkan pihak admin atau ahli gizi rumah sakit dalam
penentuan status gizi pasien. Diharapkan dengan adanya aplikasi ini
dapat memberikan efisien dan efektifitas kinerja setiap pihak.
Metode yang digunakan dalam penelitian ini menggunakan
Naïve Bayes Classifier (NBC). Metode terbaru yang di gunakan untuk
memprediksi probabilitas.Metode Naïve bayes Classifier melakukan
proses penentuan perhitungan probabilitas status gizi. Dimana dicari
nilai probabilitas terbesar yang kemudian menjadi kesimpulan
penentuan status gizi.
Metode ini dapat diterapkan dalam studi kasus Sistem
Penentuan Status Gizi Pasien dengan hasil akurasi terbesar 92%.
Kata Kunci : Naïve Bayes Classifier, Sistem Pendukung Keputusan,
Status Gizi, Web"
250,"Perkembangan game yang semakin pesat, memberikan berbagai alternative bagi peminatnya. Mulai dari bentuk game, cerita maupun media penyajian. Keberadaan game yang menggambarkan budaya Indonesia khususnya daerah kepulauan seperti Madura terhitung sedikit, sehingga dapat dirasa semakin lunturnya kebudayaan Indonesia bagi anak bangsa. Adanya peminat game yang semakin banyak dapat digunakan sebagai sarana pengenalan budaya asli Madura. Sebuah aplikasi game tentang olahraga yang sangat digemari di pulau Madura tersebut seperti Kerapan Sapi adalah sangatlah penting. Untuk itu perlu dibangun aplikasi game kerapan sapi sebagai upaya pelestarian budaya bangsa khususnya pulau Madura. Dengan upaya pembuatan game budaya maka dibangun  game perawatan sapi karapan menggunakan metode logika fuzzy (fuzzy logic), dengan menginputkan parameter kekuatan dan kesehatan sapi karapan untuk menentukan harga jual sapi karapan dalam sebuah game perawatan sapi karapan.
Kata kunci : game, kerapan sapi, perawatan sapi kerapan, budaya madura."
254,"Batik merupakan seni yang paling penting dalam kehidupan masyarakat Indonesia. Keanekaragaman batik datang dari beberapa wilayah dan provinsi sehingga menyimbolkan karakteristik ciri pola batik yang berbeda-beda dari masing-masing daerah tempat batik tumbuh dan berkembang. Tugas akhir ini telah berhasil membuat suatu Sistem Perolehan Citra berbasis Isi (SPCI) dengan ciri tekstur yang bertujuan untuk mengetahui ciri dari pola batik tersebut. SPCI merupakan metode atau teknik pencarian gambar citra yang mirip (similar) dengan melakukan perbandingan antara citra query dengan citra yang ada dalam basis data. Pada penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan wilayah citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai obyek perolehan citra berbasis isi. Sistem dibangun dengan proses utamanya yaitu ekstraksi fitur tekstur dengan menggunakan metode Gray Level Run Length Matrix (GLRM). GLRM dilakukan dengan membuat rangkaian pasangan nilai (i,j) pada setiap baris piksel dengan arah tertentu. Hasil ekstraksi fitur selanjutnya dilakukan pengukuran jarak kemiripan menggunakan metode Euclidean Distance. Dari uji coba aplikasi menggunakan pengukuran kemiripan Euclidean Distance dengan nilai threshold=145 diperoleh akurasi presisi sebesar  0.53  pada data pelatihan 184 dan data uji coba 16 dengan jumlah citra yang ditampilkan 10. 

Kata Kunci: Tekstur, Sistem Perolehan Citra berbasis Isi, Gray Level Run Length Matrix, Euclidean Distance
"
